ID,FN,LN,GENDER,BIRTHDATE,PHONE_NUMBER,EMAIL
6124,Isabel,Madrigal,F,24-OCT-59,+(506) 8442-8006,isabel.madrigal@gmail.com
6777,Marta,Soto,F,27-MAR-05,+(506) 7582-8067,marta.soto@yahoo.com
6208,Roberto,Gonzalez,M,05-FEB-68,+(506) 8118-1120,roberto.gonzalez@gmail.com
6166,Ana,Gonzalez,F,23-AUG-90,+(506) 8073-4873,ana.gonzalez@gmail.com
7522,Enrique,Frias,M,26-SEP-54,+(506) 8478-6563,enrique.frias@gmail.com
6204,Cristina,Gonzalez,F,13-MAR-95,+(506) 7626-2165,cristina.gonzalez@yahoo.com
5803,Mariana,Barrantes,F,25-OCT-37,+(506) 8973-8641,mariana.barrantes@gmail.com
6448,Marcela,Rojas,F,20-NOV-71,+(506) 8118-9368,marcela.rojas@gmail.com
6093,Ricardo,Madrigal,M,29-MAR-65,+(506) 7441-1348,ricardo.madrigal@yahoo.com
6808,Adriana,Rubio,F,15-FEB-47,+(506) 8267-4505,adriana.rubio@gmail.com
6501,Julia,Orozco,F,28-NOV-39,+(506) 7932-4902,julia.orozco@yahoo.com
5822,Liliana,Barrantes,F,11-FEB-68,+(506) 6160-7485,liliana.barrantes@outlook.com
7821,Adriana,Delgado,F,22-JAN-84,+(506) 7062-8008,adriana.delgado@yahoo.com
6616,Oscar,Fonseca,M,24-JUN-67,+(506) 8821-9460,oscar.fonseca@gmail.com
7126,Julia,Chen,F,10-JUL-06,+(506) 8600-4876,julia.chen@gmail.com
7587,Adriana,Morales,F,01-MAY-85,+(506) 7460-8596,adriana.morales@yahoo.com
7227,Marcela,Li,F,30-JUN-72,+(506) 7707-8759,marcela.li@yahoo.com
6947,Ana,Ulate,F,15-DEC-58,+(506) 6252-7544,ana.ulate@outlook.com
7619,Marcela,Morales,F,08-APR-66,+(506) 6463-6554,marcela.morales@outlook.com
7405,Manuel,Uzaga,M,17-AUG-51,+(506) 8999-2265,manuel.uzaga@gmail.com
7393,Guillermo,Uzaga,M,17-JAN-38,+(506) 8883-6039,guillermo.uzaga@gmail.com
6032,Julieta,Barquero,F,02-MAR-45,+(506) 6157-7148,julieta.barquero@outlook.com
6701,Marta,Rodriguez,F,01-JUN-38,+(506) 6558-2415,marta.rodriguez@outlook.com
5732,Lorena,Cespedes,F,05-NOV-70,+(506) 6898-5305,lorena.cespedes@outlook.com
5763,Marta,Cespedes,F,12-APR-02,+(506) 7944-4534,marta.cespedes@yahoo.com
6898,Enrique,Escobar,M,15-JUN-80,+(506) 8308-2648,enrique.escobar@gmail.com
7578,Alejandro,Morales,M,14-OCT-60,+(506) 7578-9622,alejandro.morales@yahoo.com
6655,Julieta,Rodriguez,F,16-APR-69,+(506) 8262-0021,julieta.rodriguez@gmail.com
5908,Daniel,Villalobos,M,21-AUG-48,+(506) 8002-2121,daniel.villalobos@gmail.com
6227,Oscar,Gonzalez,M,06-NOV-48,+(506) 6339-7715,oscar.gonzalez@outlook.com
7566,Maria,Morales,F,18-MAY-05,+(506) 7239-0915,maria.morales@yahoo.com
5481,Adriana,Sharma,F,22-JUN-42,+(506) 7564-1734,adriana.sharma@yahoo.com
6890,Julieta,Escobar,F,05-FEB-76,+(506) 6191-3902,julieta.escobar@outlook.com
7229,Marcela,Li,F,17-SEP-68,+(506) 6062-1285,marcela.li@outlook.com
6332,Alejandro,Mejias,M,19-MAY-63,+(506) 6822-5074,alejandro.mejias@outlook.com
6470,Manuel,Rojas,M,10-MAY-67,+(506) 6328-8205,manuel.rojas@outlook.com
5767,Manuel,Cespedes,M,23-DEC-74,+(506) 8995-7513,manuel.cespedes@gmail.com
6296,Alejandro,Perez,M,08-JUL-76,+(506) 6389-2081,alejandro.perez@outlook.com
5387,Ana,Chaves,F,25-JUN-97,+(506) 6690-9487,ana.chaves@outlook.com
5475,Sebastian,Sharma,M,05-MAR-03,+(506) 7250-6805,sebastian.sharma@yahoo.com
6080,Manuel,Barquero,M,16-JUL-02,+(506) 6253-7133,manuel.barquero@outlook.com
6709,Maria,Soto,F,17-APR-50,+(506) 8397-3759,maria.soto@gmail.com
7545,Daniel,Frias,M,20-FEB-74,+(506) 7100-7096,daniel.frias@yahoo.com
7846,Roberto,Delgado,M,25-FEB-92,+(506) 8118-7879,roberto.delgado@gmail.com
7238,Guillermo,Li,M,25-SEP-00,+(506) 6702-1357,guillermo.li@outlook.com
6096,Alejandro,Madrigal,M,27-NOV-78,+(506) 7337-4136,alejandro.madrigal@yahoo.com
6055,Liliana,Barquero,F,27-DEC-84,+(506) 8892-5060,liliana.barquero@gmail.com
7762,Isabel,Acuña,F,30-JUN-85,+(506) 8207-1182,isabel.acuña@gmail.com
6829,Cristina,Rubio,F,17-JUL-55,+(506) 8642-1182,cristina.rubio@gmail.com
7612,Roberto,Morales,M,09-MAR-58,+(506) 8983-1509,roberto.morales@gmail.com
7719,Alberto,Acuña,M,24-JUL-38,+(506) 7727-6975,alberto.acuña@yahoo.com
6874,Ricardo,Escobar,M,13-FEB-53,+(506) 8284-6044,ricardo.escobar@gmail.com
5694,Maria,Cespedes,F,12-SEP-90,+(506) 7224-9980,maria.cespedes@yahoo.com
5790,Adrian,Barrantes,M,28-AUG-72,+(506) 7595-5033,adrian.barrantes@yahoo.com
5946,Adrian,Corrales,M,19-JAN-47,+(506) 7376-9165,adrian.corrales@yahoo.com
6878,Alejandro,Escobar,M,02-JUN-53,+(506) 6069-9447,alejandro.escobar@outlook.com
7199,Adriana,Li,F,07-JAN-73,+(506) 6008-1336,adriana.li@outlook.com
7648,Ana,Salazar,F,02-SEP-62,+(506) 8619-7055,ana.salazar@gmail.com
5624,Jose,Sanchez,M,03-JUN-62,+(506) 6596-5482,jose.sanchez@outlook.com
5423,Isabel,Chaves,F,07-FEB-83,+(506) 6150-5947,isabel.chaves@outlook.com
6314,Manuel,Perez,M,24-MAR-96,+(506) 6015-6838,manuel.perez@outlook.com
5471,Ricardo,Sharma,M,11-JUN-47,+(506) 6311-6440,ricardo.sharma@outlook.com
7621,Alejandro,Morales,M,06-MAR-66,+(506) 8905-1463,alejandro.morales@gmail.com
6637,Jose,Rodriguez,M,20-JAN-97,+(506) 8117-6843,jose.rodriguez@gmail.com
7353,Adriana,Uzaga,F,26-AUG-83,+(506) 7281-9735,adriana.uzaga@yahoo.com
5877,Julia,Villalobos,F,20-APR-59,+(506) 7875-6877,julia.villalobos@yahoo.com
7362,Mariana,Uzaga,F,12-JUN-84,+(506) 7985-3441,mariana.uzaga@yahoo.com
6015,Ricardo,Barquero,M,04-AUG-59,+(506) 7309-4107,ricardo.barquero@yahoo.com
7011,Marta,Ulate,F,14-NOV-86,+(506) 7401-5097,marta.ulate@yahoo.com
7089,Marta,Caballero,F,16-SEP-49,+(506) 7850-2855,marta.caballero@yahoo.com
6970,Julia,Ulate,F,26-DEC-37,+(506) 8715-2868,julia.ulate@gmail.com
7628,Guillermo,Morales,M,11-MAY-83,+(506) 6861-8433,guillermo.morales@outlook.com
7150,Marcela,Chen,F,09-JAN-03,+(506) 8707-9136,marcela.chen@gmail.com
5393,Ricardo,Chaves,M,07-FEB-69,+(506) 6828-6126,ricardo.chaves@outlook.com
7559,Marta,Frias,F,04-JUL-86,+(506) 6541-6941,marta.frias@outlook.com
7657,Alejandro,Salazar,M,17-FEB-75,+(506) 8205-1046,alejandro.salazar@gmail.com
5536,Alberto,Chamorro,M,06-DEC-98,+(506) 8760-3172,alberto.chamorro@gmail.com
5970,Cristina,Corrales,F,26-AUG-51,+(506) 7008-4710,cristina.corrales@yahoo.com
5931,Ana,Corrales,F,11-DEC-03,+(506) 7603-1505,ana.corrales@yahoo.com
6429,Enrique,Rojas,M,04-MAR-59,+(506) 7936-3882,enrique.rojas@yahoo.com
6266,Julieta,Perez,F,18-JUL-38,+(506) 6084-3840,julieta.perez@outlook.com
7610,Cristina,Morales,F,13-JUN-01,+(506) 6185-6770,cristina.morales@outlook.com
7161,Oscar,Chen,M,02-FEB-68,+(506) 7972-7170,oscar.chen@yahoo.com
5519,Daniel,Sharma,M,04-SEP-37,+(506) 6826-9826,daniel.sharma@outlook.com
7137,Isabel,Chen,F,09-OCT-87,+(506) 7184-5606,isabel.chen@yahoo.com
5928,Maria,Corrales,F,21-AUG-88,+(506) 7960-5377,maria.corrales@yahoo.com
7413,Ana,Umaña,F,23-SEP-74,+(506) 7895-4248,ana.umaña@yahoo.com
6806,Adrian,Rubio,M,21-DEC-76,+(506) 6516-4502,adrian.rubio@outlook.com
7444,Enrique,Umaña,M,11-OCT-72,+(506) 8456-6960,enrique.umaña@gmail.com
5579,Isabel,Chamorro,F,26-JAN-76,+(506) 6648-9196,isabel.chamorro@outlook.com
5557,Adrian,Chamorro,M,10-AUG-03,+(506) 8356-6402,adrian.chamorro@gmail.com
7547,Daniel,Frias,M,26-SEP-90,+(506) 6994-3040,daniel.frias@outlook.com
